data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,type
405.17,345.93,265.72,295.88,253.07,281.03,316.39,449.8,520.83,887.69,700.35,569.55,283.51,559.18,389.96,549.41,77541,74028,62840,50374,47562,54750,67827,74915,1.06E+05,1.32E+05,1.34E+05,1.12E+05,53275,84410,72060,93719,1
345.38,298.44,262.7,295.53,250.58,251.14,273.23,407.53,448.78,910.2,658.43,549.44,287.12,551.77,348.19,476.82,65624,65898,60917,48888,44343,49045,59122,67455,92063,1.31E+05,1.25E+05,1.07E+05,54364,81321,63042,81247,1
326.16,316.27,248.09,253.01,226.22,258.01,276.09,368.08,420.75,891.48,626.29,509.8,251.64,470.61,350.91,449.37,60710,67493,58990,42558,42464,49605,57338,61681,88587,1.39E+05,1.22E+05,97852,48590,74513,63508,75570,1
292.34,314.56,267.53,285.17,228.25,247.85,273.15,348.38,358.9,884.66,607.36,536.57,251.97,520.2,306.79,372.33,57729,65842,59646,46499,43790,46771,56402,61906,83275,1.38E+05,1.20E+05,98776,50705,78431,57562,69739,1
293.08,337.42,263.12,307.99,235.86,252.71,291.1,339.72,336.73,813.35,612.64,520.78,248.67,542.18,295.64,375.28,59958,70060,59217,48851,45603,46850,55170,60425,80079,1.34E+05,1.27E+05,96362,50238,81736,56464,68227,1
292.12,328.82,269.76,321.52,235.28,250.64,276.26,356.56,354.31,706.86,641.29,506.91,256.09,584.66,265.68,378.99,63103,69044,60940,55361,47963,47028,54774,64885,80640,1.20E+05,1.28E+05,98014,53013,84161,54018,69096,1
297.77,318.77,256.31,301.51,227.87,227.64,274.89,338.06,366.17,699.42,648.22,515.86,242.49,546.69,249.17,362.35,62701,72083,63035,54523,46223,43986,53014,62344,75899,1.15E+05,1.31E+05,1.02E+05,50667,73138,50638,65664,1
294.87,297.65,264.48,265.77,195.58,215.1,261.73,317.16,366.6,662.49,599.48,480.72,234.54,478.18,226.17,356.45,61894,65798,64205,51904,42397,44979,52182,58248,73238,1.02E+05,1.15E+05,96783,48964,64029,45431,64636,1
273.25,268.97,243.9,240.1,193.35,202.37,248.74,281.32,322.42,693.81,596.25,454.92,225.17,396.6,232.67,326.98,57736,58933,59775,46153,38875,43910,46440,51577,61292,99550,1.10E+05,88272,44912,57005,45046,57598,1
254.53,263.65,232.69,240.4,207.25,232,232.61,289.77,324.39,676.5,549.57,427.19,241.05,379.81,242.18,320.68,53116,54344,53661,43676,40259,49562,45837,50166,60562,1.00E+05,98907,82860,45111,58397,45604,56056,1
239.2,266.3,206.33,232.81,212.16,224.12,229.42,267.28,317.18,689.23,556.15,434.15,218.81,371.16,241.88,277.73,45751,54331,46908,41076,39251,46618,45731,46482,59052,1.00E+05,97323,82095,42933,56913,44861,50598,1
237.11,273.36,202.74,234.8,199.51,234.56,229.66,266.73,363.3,697.77,537.39,447.96,240.25,394.21,234.23,270.28,45895,58342,43258,41207,38131,46421,48331,46392,67506,1.07E+05,98361,85517,45689,59661,42730,49760,1
234.73,263.09,213.65,212.96,168.44,200.37,227.92,250.78,353.19,650.09,520.72,429.65,228.77,389.69,221.93,264.11,47335,57112,44060,39528,32475,41162,46362,45104,69037,1.08E+05,99455,84998,44835,60921,43416,49112,1
244.24,265.11,222.77,210.24,170.55,193.41,206.19,260.97,339.83,647.07,518.04,407.91,226.61,400.73,222.94,273.22,52558,58677,47570,39790,32179,38763,43076,47214,66491,1.07E+05,1.08E+05,83045,42537,63833,45813,52988,1
271.22,287.64,250.53,236.91,203.98,198.08,231.07,277.99,321.03,609.63,476.43,408.91,208.34,415.44,256.08,286.45,56769,60821,51617,42637,36231,39245,44098,49544,65607,96561,1.03E+05,81387,40947,66189,50617,56042,1
273.03,289.17,228.77,226.32,205.73,192.06,213.73,264.94,304.35,639.67,511.67,389.51,206.62,406.37,244.71,260.38,56636,60729,51334,42641,38665,35913,43141,48094,62583,90040,1.06E+05,77424,40191,65683,48376,52995,1
271.64,294.86,225.74,223.16,204.37,202.35,233.92,265.09,309.21,692.11,487.26,428.94,225.74,386.76,243.78,248.97,56024,60472,51095,42407,38347,38551,47052,47102,63958,89553,97419,78006,41948,60289,45679,49592,1
238.35,254.84,197.72,182.82,168.19,200.77,223.23,244.08,288.09,656.6,479.22,400.6,227.92,361.18,204.22,225.84,51252,51118,47693,36120,33645,38323,46095,43673,56409,86294,90358,74989,40819,56241,38947,44720,1
214.52,239.26,198.93,169.3,155.12,196.3,227.31,226.67,256.96,628.98,454.4,389.88,216.98,337.56,197.47,225.36,46168,48785,46413,31850,31707,38497,45739,40373,52100,86740,85773,71573,38180,51858,37297,43946,1
220.23,222.89,192.21,177.12,152.12,193.02,218.71,210.13,240.87,588.93,442.65,354.99,199.28,358.18,206.4,233.9,45820,48805,43516,31860,30870,37834,43695,40097,48044,87636,82683,66450,35002,54121,37320,42029,1
202.96,249.24,186.94,173.96,145.35,177.72,199.41,198.36,247.28,562.34,449.78,379.64,204.97,330.16,201.55,229.49,42202,53329,45061,32732,30042,35981,38002,39940,47469,80796,85127,67133,33927,50375,36892,40289,1
211.17,253.74,189.55,177.74,155.53,180.75,195.66,207.64,254.68,558.93,431.75,403.64,214.9,332.33,205.62,226.55,42617,52576,44229,34340,30159,35534,38375,40399,50381,79665,82705,68068,34556,50179,36313,39451,1
194.95,244.3,187.91,178.78,168.27,184.06,187.78,227.62,238.84,501.59,419.01,425.16,216.81,339.1,193.54,218.9,42107,50511,44321,34673,31123,35286,37201,41514,49859,73863,80189,75316,36673,51202,36570,37889,1
213.24,214.1,192.23,197.64,180.84,181.55,192.47,232.75,211.87,478.74,398.89,398.81,204.3,383.67,191.06,208.46,44091,46428,43101,37417,31710,33891,37814,40518,49487,74276,79105,70929,37417,56932,35958,37253,1
216.77,210.41,194.33,208.02,175.88,199.15,199.71,219.5,227.9,472.03,395.25,400.08,218.72,391.92,201.25,224.56,44438,47176,42772,38480,31686,37561,38083,40536,49156,76034,80679,74286,41713,57547,39591,40379,1
218.5,216.04,210.03,225.01,172.26,187.84,212.29,220.92,277.52,469.31,409.66,385.9,222.59,391.16,200.38,231.09,42859,46893,45013,39766,31483,35374,38693,40452,51454,72824,84612,71394,41924,57761,39732,43390,1
